,College Name,College Location,Course,Fee in Lakhs,Public university,Scholarship,Accommodation,IELTS Score
0,Indiana University-Purdue University Indianapolis, Indianapolis ,M.S. in Computational Data Science (Computer & Information Science),14.1,Yes,No,Yes,6.5
1,Texas A & M University, College Station ,Master of Science in Computer Engineering (STEM),25.7,Yes,No,Yes,6.0
2,Harvard University, Cambridge ,MS in Computational Science and Engineering,57.9,No,No,Yes,6.5
3,Arizona State University, Tempe ,MS Computer Science,38.9,Yes,No,Yes,6.5
4,The University of Illinois at Chicago, Chicago ,MS in Computer Science,28.6,Yes,Yes,Yes,6.5
5,Northeastern University, Boston ,MPS in Applied Machine Intelligence,35.1,No,No,Yes,6.5
6,Stanford University, Stanford ,Master of Science in Computer Science,51.1,No,No,Yes,6.5
7,The University of Texas at Dallas, Richardson ,Master of Science in Computer Science,40.4,Yes,No,Yes,6.5
8,New York University, New York ,Master in Computer Science,27.7,No,No,Yes,6.5
9,University of New Haven, West Haven ,M.S in Computer Science,30.2,Yes,No,Yes,6.0
10,University of South Florida, Tampa ,Master of Science in Computer Science,24.5,Yes,No,Yes,6.5
11,The University of Texas at Austin, Austin ,Master of Science in Engineeringin Software Engineering,14.9,Yes,No,Yes,6.5
12,University of California - Berkeley Campus, Berkeley ,Master of Science in Computer Science,41.7,Yes,No,Yes,7.0
13,Georgia Institute of Technology, Atlanta ,Master of Science in Computer Science,30.7,Yes,No,Yes,7.5
14,University of Southern California, Los Angeles ,Master of Science in Computer Science,43.5,No,No,Yes,6.5
15,University at Buffalo, Buffalo ,MS Computer Science and Engineering,28.7,Yes,No,Yes,6.5
16,University of Texas at Arlington, Arlington ,Master of Science in Computer Science,26.5,Yes,No,Yes,6.5
17,Columbia University, New York ,MS in Computer Science,49.5,No,No,Yes,6.5
18,California State University Los Angeles Campus, Los Angeles ,MS in Computer Science,23.6,Yes,No,Yes,6.0
19,Pace University, New York ,"Computer Science, MS (STEM)",33.1,No,No,Yes,6.5
20,University of Florida, Gainesville ,M.S. in Computer Science,37.1,Yes,No,Yes,7.0
21,New Jersey Institute of Technology, Newark ,Master of Science in Computer Science,38.1,Yes,No,Yes,6.5
22,Purdue University, West Lafayette ,Master of Science in Computer Science,30.6,Yes,No,Yes,7.5
23,University of California - Los Angeles Campus, Los Angeles ,Master of Science in Computer Science,38.7,Yes,No,Yes,7.0
24,Cleveland State University, Cleveland ,Master of Computer and Information Science in Computer Science,25.3,Yes,No,Yes,6.0
25,University of Michigan, Ann Arbor ,MS Computer Science and Engineering,57.5,Yes,No,Yes,6.5
26,California State University Long Beach, Los Angeles ,Master of Science in Computer Science (STEM),22.7,Yes,No,Yes,6.5
27,Boston University, Boston ,MS in Computer Science,49.2,No,No,Yes,7.0
28,University of Cincinnati, Cincinnati ,Master of Science in Computer Engineering,33.5,Yes,No,Yes,6.5
29,San Jose State University, San Jose ,Master of Science in Computer Science,28.4,Yes,No,Yes,6.5
30,DePaul University, Chicago ,Master of Science in Computer Science,34.7,No,No,Yes,6.5
31,Illinois Institute of Technology, Chicago ,M.S in Computer Science (MSCS),36.9,No,No,Yes,6.5
32,University of Houston, Houston ,M.S. in Computer Science,25.3,Yes,No,Yes,6.5
33,Kent State University, Kent ,Computer Science - M.S.,25.5,Yes,No,Yes,6.0
34,University of Alabama at Birmingham, Birmingham ,Master of Science in Computer Science,20.3,Yes,No,Yes,6.5
35,University of Maryland Baltimore County, Baltimore ,M.S. in Computer Science,31.5,Yes,No,Yes,6.5
36,University of Maryland, College Park ,M.S in Computer Science,30.6,Yes,No,Yes,7.0
37,New York Institute of Technology, Old Westbury ,"Computer Science, M.S.",34.5,No,No,Yes,6.0
38,Sacred Heart University, Fairfield ,Master of Science in Computer Science and Information Technology (MSCSIT) (STEM),21.3,No,No,Yes,6.0
39,Saint Louis University, St. Louis ,MS in Computer Science,28.5,No,No,Yes,6.5
40,University of Washington, Seattle ,MS in Computer Science & Engineering,37.7,Yes,No,Yes,6.5
41,University of Central Missouri, Warrensburg ,Master of Science in Computer Science,25.6,Yes,No,Yes,6.0
42,George Mason University, Fairfax ,Computer Science MS,33.7,Yes,No,Yes,6.5
43,University of Illinois Springfield, Springfield ,M.S. in Computer Science,21.3,Yes,No,Yes,6.0
44,Georgia State University, Atlanta ,Master of Science in Computer Science,37.5,Yes,No,Yes,6.0
45,Wichita State University, Wichita ,Master of Science in Computer Science,13.5,Yes,No,Yes,6.5
46,University of Pennsylvania, Philadelphia ,"Computer & Information Technology, MCIT",52.3,No,No,Yes,6.5
47,National University, San Diego ,Master of Science in Computer Science,15.9,No,No,No,6.0
48,Michigan State University, East Lansing ,Master of Science in Computer Science,32.7,Yes,No,Yes,6.5
49,Yale University, New Haven ,MS in Computer Science,50.3,No,No,Yes,7.0
50,University of Illinois at Urbana-Champaign, Champaign ,Master of Science in Computer Science,42.9,Yes,No,Yes,7.5
51,University of Bridgeport, Bridgeport ,M.S. in Computer Science (STEM),21.8,No,No,Yes,6.5
52,Cornell University, Ithaca ,MS in Computer Science,45.1,No,No,Yes,7.0
53,Carnegie Mellon University - USA, Pittsburgh ,M.S. in Computer Science,58.9,No,No,Yes,7.0
54,University of Dayton, Dayton ,Master of Computer Science,27.5,No,No,Yes,6.5
55,University of Massachusetts Boston, Boston ,MS Computer Science,43.6,Yes,No,Yes,6.0
56,Texas Tech University, Lubbock ,MS in Software and Security Engineering,21.7,Yes,No,Yes,6.5
57,Florida Atlantic University, Boca Raton ,Master of Science in Computer Science,25.7,Yes,No,Yes,6.0
58,Stevens Institute of Technology, Hoboken ,Master of Science in Computer Science,46.5,No,No,Yes,7.0
59,Wright State University, Dayton ,Master of Science in Computer Science,23.3,Yes,No,Yes,6.0
60,Central Michigan University, Mount Pleasant ,Master of Science in Computer Science,17.0,Yes,No,Yes,6.5
61,Governors State University, University Park ,Master of Science in Computer Science,17.6,Yes,No,Yes,6.0
62,Rowan University, Glassboro ,M.S. in Computer Science,24.3,Yes,No,Yes,6.0
63,University of Arizona, Tucson ,MS Computer Science,38.8,Yes,No,Yes,7.0
64,"California State University, East Bay", Hayward ,M.S in Computer Science (STEM),27.6,Yes,No,Yes,6.5
65,North Carolina State University, Raleigh ,Master of Science in Computer Science,39.0,Yes,No,Yes,6.5
